,index,Source airport,Source airport ID,Destination airport,Destination airport ID,Source iata,Source long,Source lat,Dest iata,Dest long,Dest lat
2941,3442,KIX,3992,PVG,3406,KIX,135.244003295898,34.4272994995117,PVG,121.805000305175,31.1434001922607
26161,39515,PRG,1587,VNO,3959,PRG,14.26,50.1008,VNO,25.2858009338378,54.6341018676757
7814,8951,TPE,2276,CSX,3371,TPE,121.233002,25.0777,CSX,113.220001221,28.1891994475999
2058,2208,DEL,3093,CCU,3043,DEL,77.1031036376953,28.566499710083,CCU,88.4467010498046,22.6546993255615
2653,3089,HFE,3389,LJG,4033,HFE,117.297996520996,31.7800006866455,LJG,100.246002197,26.6800003052
27865,44655,SPU,1206,VIE,1613,SPU,16.2980003356933,43.5388984680175,VIE,16.569700241089,48.110298156738
11823,15271,SOU,495,EDI,535,SOU,-1.35679996013641,50.9502983093261,EDI,-3.37249994277954,55.9500007629394
20413,27954,STN,548,RZE,675,STN,0.234999999404,51.8849983215,RZE,22.0189990997,50.1100006104
17117,23653,ADD,1107,GMB,1113,ADD,38.7993011474999,8.97789001465,GMB,34.5630989074707,8.12876033782959
18327,25620,JXA,8417,TAO,3390,JXA,131.193,45.293,TAO,120.374000549,36.2661018372
17257,23854,LFW,298,CKY,4162,LFW,1.25451004505157,6.16560983657836,CKY,-13.612,9.57689
72,80,TPP,2806,PCL,2781,TPP,-76.3731994628906,-6.5087399482727,PCL,-74.5743026733398,-8.37794017791748
1229,1297,CGN,344,KVA,1462,CGN,7.1427397728,50.8658981323,KVA,24.6191997528076,40.9132995605468
6351,7235,FNC,4091,DUS,345,FNC,-16.774499893188,32.697898864746,DUS,6.76677989959716,51.2895011901855
28401,45761,DEL,3093,KHI,2206,DEL,77.1031036376953,28.566499710083,KHI,67.160797,24.9065
35214,64990,FCO,1555,LWO,2945,FCO,12.2388889,41.8002778,LWO,23.9561004638671,49.8125
17686,24610,DMK,3157,HAN,3199,DMK,100.607002258,13.9125995636,HAN,105.806999206542,21.2212009429931
6398,7284,HAJ,352,JER,499,HAJ,9.68507957458,52.461101532,JER,-2.19550991058349,49.2079010009765
25569,38432,IAD,3714,BRU,302,IAD,-77.45580292,38.94449997,BRU,4.48443984985,50.9014015198
9523,11318,NAP,1561,LIN,1529,NAP,14.2908,40.886002,LIN,9.27674,45.445099
21463,29227,XNA,4356,LAS,3877,XNA,-94.306801,36.281898,LAS,-115.1520004,36.08010101
1988,2134,BLR,3131,AMD,2994,BLR,77.706299,13.1979,AMD,72.6346969603999,23.0771999359
26897,41735,KHN,3384,WUH,3376,KHN,115.900001525878,28.8649997711181,WUH,114.208000183105,30.783800125122
10120,12296,AXM,2705,BOG,2709,AXM,-75.7664,4.45278,BOG,-74.1469,4.70159
10593,13284,FCO,1555,CAI,1128,FCO,12.2388889,41.8002778,CAI,31.4055995941162,30.1219005584716
2100,2267,IMF,3050,CCU,3043,IMF,93.896697998,24.7600002289,CCU,88.4467010498046,22.6546993255615
9295,10947,CUU,1797,MTY,1825,CUU,-105.964996338,28.7028999329,MTY,-100.107002258,25.7784996033
17057,23567,CLO,2715,ESM,6047,CLO,-76.3816,3.54322,ESM,-79.6266021728515,0.978519022464752
5297,6111,MIA,3576,SXM,2899,MIA,-80.2906036376953,25.7931995391845,SXM,-63.1088981628,18.0410003662
32447,56064,DAY,3627,CLE,3486,DAY,-84.2193984985351,39.9024009704589,CLE,-81.8498001099,41.4117012024
3037,3547,XIY,3379,SHA,3391,XIY,108.751998901367,34.4471015930175,SHA,121.335998535156,31.1979007720947
31040,52728,MLX,1692,ESB,1682,MLX,38.253899,38.353699,ESB,32.995098114,40.1281013488999
504,545,NDR,5673,PMI,3998,NDR,-3.0282099247,34.9888000487999,PMI,2.73881006241,39.551700592
27806,44515,INU,4076,BNE,3320,INU,166.919006,-0.547458,BNE,153.117004394531,-27.384199142456
4586,5368,DTW,3645,PHX,3462,DTW,-83.353401184082,42.2123985290527,PHX,-112.012001037597,33.4342994689941
24093,34775,NRT,2279,VVO,2934,NRT,140.386001587,35.7647018433,VVO,132.147994995117,43.398998260498
21260,29019,LAS,3877,HNL,3728,LAS,-115.1520004,36.08010101,HNL,-157.921997070312,21.3187007904052
13189,17153,WUX,6390,XIY,3379,WUX,120.429000854,31.4944000243999,XIY,108.751998901367,34.4471015930175
11553,14881,POS,2902,UVF,2894,POS,-61.3372001647949,10.5953998565673,UVF,-60.952599,13.7332
13368,17367,POM,5,TBG,5434,POM,147.220001220703,-9.44338035583496,TBG,141.225997924804,-5.27861022949218
10279,12518,SAL,1892,JFK,3797,SAL,-89.055702,13.4409,JFK,-73.77890015,40.63980103
25902,39128,VIE,1613,KRK,669,VIE,16.569700241089,48.110298156738,KRK,19.7847995758056,50.0777015686035
29165,47781,KHV,2927,YKS,2923,KHV,135.18800354004,48.52799987793,YKS,129.77099609375,62.0932998657226
26998,42099,PVG,3406,DAX,6397,PVG,121.805000305175,31.1434001922607,DAX,107.4295,31.1302
22170,30321,KWL,3372,HAK,4120,KWL,110.039001464843,25.2180995941162,HAK,110.458999633789,19.9349002838134
23270,32750,MAD,1229,VCE,1551,MAD,-3.56264,40.471926,VCE,12.3519,45.505299
1080,1144,MEX,1824,TGZ,1846,MEX,-99.072098,19.4363,TGZ,-93.0224990845,16.5636005402
10421,12760,KIX,3992,HEL,421,KIX,135.244003295898,34.4272994995117,HEL,24.963300704956,60.317199707031
21947,29930,IST,1701,BAH,2057,IST,28.8145999907999,40.9768981934,BAH,50.6335983276367,26.2707996368408
22993,32141,UUS,2933,CTS,2287,UUS,142.718002319335,46.8886985778808,CTS,141.692001342773,42.7751998901367
1629,1703,FAI,3832,MLY,7246,FAI,-147.8560028,64.81510162,MLY,-150.643997192,64.9975967406999
22238,30459,WNZ,6392,NNG,3373,WNZ,120.851997375488,27.9122009277343,NNG,108.171997070312,22.608299255371
21756,29656,IST,1701,SIN,3316,IST,28.8145999907999,40.9768981934,SIN,103.994003,1.35019
10804,13685,SVG,666,AMS,580,SVG,5.6377801895,58.876701354,AMS,4.76388978957999,52.3086013794
19853,27360,MRS,1353,STN,548,MRS,5.22142410278,43.439271922,STN,0.234999999404,51.8849983215
21301,29065,MSO,4216,AZA,6505,MSO,-114.0910034,46.91630173,AZA,-111.6549988,33.30780029
25389,38032,BOS,3448,FRA,340,BOS,-71.00520325,42.36429977,FRA,8.5705556,50.0333333
13523,17661,PTY,1871,BSB,2531,PTY,-79.3834991455,9.0713596344,BSB,-47.9208335876464,-15.8691673278808
20588,28141,TSF,1539,BRU,302,TSF,12.1944,45.648399,BRU,4.48443984985,50.9014015198
8967,10355,CCJ,3137,DXB,2188,CCJ,75.9552993774,11.1367998123,DXB,55.3643989563,25.2527999878
34783,63505,AUS,3673,TPA,3646,AUS,-97.6698989868164,30.1944999694824,TPA,-82.533203125,27.9755001068115
3764,4517,DCM,1285,AJA,1324,DCM,2.28918004035949,43.5563011169433,AJA,8.8029203414917,41.923599243164
18867,26298,BVA,1367,BZR,1360,BVA,2.11278009414672,49.4543991088867,BZR,3.35389995574951,43.323501586914
29491,48691,PEK,3364,UUD,2938,PEK,116.584999084472,40.0801010131835,UUD,107.438003540039,51.8078002929687
22755,31830,KGS,1458,AMS,580,KGS,27.0916996002197,36.7933006286621,AMS,4.76388978957999,52.3086013794
7036,8083,YEG,49,EWR,3494,YEG,-113.580001831,53.3097000122,EWR,-74.168701171875,40.6925010681152
5258,6071,MIA,3576,MGA,1863,MIA,-80.2906036376953,25.7931995391845,MGA,-86.1681976318359,12.1415004730224
17659,24574,SOF,1194,PRG,1587,SOF,23.4114360809326,42.6966934204101,PRG,14.26,50.1008
6201,7036,AMM,2170,VIE,1613,AMM,35.9931983948,31.7226009369,VIE,16.569700241089,48.110298156738
2219,2398,AKY,3235,RGN,3239,AKY,92.8725967407226,20.1326999664306,RGN,96.1332015991,16.9073009490999
2241,2426,RTW,4363,MRV,2962,RTW,46.0466995239257,51.5649986267089,MRV,43.0819015502929,44.2251014709472
12070,15618,CTU,3395,TPE,2276,CTU,103.946998596191,30.5785007476806,TPE,121.233002,25.0777
9857,11928,SEA,3577,FCA,4127,SEA,-122.30899810791,47.4490013122558,FCA,-114.255996704101,48.3105010986328
21182,28937,ELM,3946,PIE,3617,ELM,-76.8916015625,42.1599006652832,PIE,-82.68740082,27.91020012
18313,25566,TUS,3636,LAS,3877,TUS,-110.941001892089,32.1161003112793,LAS,-115.1520004,36.08010101
4996,5796,LGB,3582,SEA,3577,LGB,-118.1520004,33.81769943,SEA,-122.30899810791,47.4490013122558
5757,6578,PHX,3462,SJD,1840,PHX,-112.012001037597,33.4342994689941,SJD,-109.721000671386,23.1518001556396
30835,52357,ESB,1682,ADA,1685,ESB,32.995098114,40.1281013488999,ADA,35.2803993224999,36.9822006226
22954,32093,TAS,2983,MRV,2962,TAS,69.2811965942,41.257900238,MRV,43.0819015502929,44.2251014709472
2651,3087,HET,6345,TYN,3369,HET,111.823997498,40.851398468,TYN,112.62799835205,37.746898651123
29576,48857,JNB,813,HDS,811,JNB,28.246,-26.1392,HDS,31.0487003326,-24.3686008452999
10220,12433,LET,2728,BOG,2709,LET,-69.9432,-4.19355,BOG,-74.1469,4.70159
5347,6163,MYR,3515,PHL,3752,MYR,-78.9282989502,33.6796989441,PHL,-75.241096496582,39.871898651123
19157,26613,DUB,599,LPL,491,DUB,-6.27007007598876,53.4212989807128,LPL,-2.8497200012207,53.3335990905761
6810,7815,ATL,3682,DEN,3751,ATL,-84.4281005859375,33.6366996765136,DEN,-104.672996521,39.861698150635
31144,52958,UEL,986,MPM,979,UEL,36.86909866333,-17.8554992675781,MPM,32.5726013183593,-25.920799255371
12358,16017,BSG,890,SSG,891,BSG,9.80568027496337,1.90547001361846,SSG,8.70872020721435,3.75527000427246
30857,52388,ESB,1682,VAN,1728,ESB,32.995098114,40.1281013488999,VAN,43.3322982788085,38.4682006835937
15677,21779,SLC,3536,ABQ,4019,SLC,-111.977996826171,40.7883987426757,ABQ,-106.609001159667,35.0401992797851
21203,28959,FWA,4041,MYR,3515,FWA,-85.19509888,40.97850037,MYR,-78.9282989502,33.6796989441
17947,24991,CAK,4112,TPA,3646,CAK,-81.4421997070312,40.9160995483398,TPA,-82.533203125,27.9755001068115
